Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,K0USA,146.94000,-,0.60000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
2,Simplex,146.52000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
3,W0WYV,147.39000,+,0.60000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
4,KD0EFC,146.67000,-,0.60000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
5,WX,162.40000,off,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
6,N0YMJ,145.37000,-,0.60000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
7,K0BOY,147.36000,+,0.60000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
8,KW1RKY,442.32500,+,5.00000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
9,WB0YLA,442.50000,+,5.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
10,KG0S,443.92500,+,5.00000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
11,WB0WXS,444.05000,+,5.00000,Cross,88.5,127.3,023,NN,023,->Tone,FM,5.0,,4.0W,,,,,
12,K0OQL,444.42500,+,5.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
13,K0BOY,444.60000,+,5.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
189, NOAA1,162.55000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
190, NOAA2,162.40000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
191, NOAA3,162.47500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
192, NOAA4,162.42500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
193, NOAA5,162.45000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
194, NOAA6,162.50000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
195, NOAA7,162.52500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
196, NOAA8,161.65000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
197, NOAA9,161.77500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
198, NOAA10,161.75000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
199, NOAA11,162.00000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
